title,description,length
"One Degree Beyond : A Reiki Journey Into Energy Medicine(Your 21-Day Step by Step guide to Relax, Celebrate and Open) With New Material from the Usui Diaries","Put Reiki to work in your life with Janeanne Narrin's ""One Degree Beyond,"" the only Reiki book in a workbook format. The book is a ladder of opportunity to release stress, find creative zest, and BE something different ""Awareness Magazine"" writes: ""What a pleasure to find a book on Reiki that has the ability to bring healing, even by reading it "" Nominated for the prestigious PNBA Award.",390
The Invisible Force: 365 Ways to Apply the Power of Intention to Your Life,"Dr. Wayne W. Dyerhas put together this little book in order to convey the fact that intention is a field of energy that flows invisibly beyond the reach of our normal, everyday habitual patterns. It's a force that we all have within us, and we have the power to draw it into our lives by beingthe energy we want to attract.
Use the uplifting material within these pages to bring the power of intention into your life for many years to come, and experience the world in a new and exciting way!",492
Solemn Contract,"Connecticut, 1720: In an attempt to give his family financial security, school master Jem Bradley hires himself out as an indentured servant - and thus begins an odyssey which will take him to the small settlement of Kennet and a burgeoning friendship with enigmatic blacksmith Will Middleton. Trouble is never far away, however, and when Jem is accused of committing a bloody murder his future begins to look very bleak indeed...",430
"The Discovery (Robert Irwin, Dinosaur Hunter, #1)","Discover a world of prehistoric adventure with Robert Irwin! After discovering a dinosaur fossil in outback Queensland, Robert stumbles upon a way to travel back to the Australian age of dinosaurs, 95 million years ago! But dodging a dinosaur stampede isn't Robert's biggest problem. If he can survive the day, how will Robert find his way home?",345
Copywriting For The Rest Of Us (Marketing For The Rest Of Us #2),"Copywriting advice for the rest of us.
This second book in the Marketing For The Rest Of Series will take you step-by-step through the process of learning how to craft your very own high converting sales page without the need of hiring an expensive copywriter.
Words sell, and if you know how to write them the universe will reward you.
Join Mike Shreeve as he takes you by the hand and turns beginning copywriters into sales page creating experts!",448
Figuring Out Geometry,"Triangles, segments, and angles, oh my! But dont worry; this book makes it all clear. Learn about circles, symmetry, and line relationships. Practice finding perimeters, areas, volume, and circumference. Whether you are learning this information for the first timeon your own or with a tutoror you would like to review your math skills, this book is a perfect choice. And dont forget to download the FREE WORKSHEETS for even more practice!",439
The Beginner's Guide To The Gift Of Prophecy (Beginner's Guides,"Using examples from his extensive experience, theologian and top-selling author Jack Deere explains the gift of prophecy and its essential contribution to the church. His straightforward presentation demonstrates that prophecy is not an exotic frill but an important gift for building up the body of Christ. He offers sound pastoral wisdom for the discernment and use of the gift to help readers avoid abuses and excesses that may occur in the exercise of the gift.",465
Hunting Them Gently,"Detective Peter Murphy has been given a second chance when he is shot twelve times. He must return as Detective Alex Weller and solve strange and unexplainable crimes that will push him to the limits. If he successful he may be able to return to his wife and son. He doesn't realize there are hidden forces working to destroy him.
A woman is shot in the head while sitting in her car. Her baby is missing. Detective Weller must find who did it before any more babies are kidnapped.
7,400 words",493
Catalogue Houses Eatons and others,"Les Henry, a professor at the University of Saskatchewan, grew up in a foursquare farmhouse originally ordered from a catalogue. In the late 1990s he and his wife began to research and visit many catalogue houses across Western Canada, and he compiled this book of original house plans, personal histories and current photographs. It is self-published, and the author makes no claims to accuracy, but his years of academia are visible in this carefully-crafted product.",469
Margot and Rosalind,"http://www.tor.com/2017/03/08/margot-...
Original Fiction, Short Story
On International Women's Day, several of the best writers in SF/F today reveal new stories inspired by the phrase ""Nevertheless, she persisted"", raising their voice in response to a phrase originally meant to silence.
The stories publish on Tor.com all throughout the day of March 8th",355
Bow-wow Wiggle-Waggle,"What begins as a playful game of fetch between a boy and his dog turns into a wild goose chase that springs from one page to the next in this delightful book. Young readers will find themselves caught up in the bright and charming watercolor paintings as they follow the pair on a frolicking escapade, and ultimately, to an endearing reunion.",342
